Scholarship Name,Link
5 days to go,https://www.buddy4study.com/scholarship/odisha-banishree-scholarship-2026
5 days to go,https://www.buddy4study.com/scholarship/centrally-sponsored-pre-matric-scholarship-for-st-students-class-9-10-andaman-and-nicobar-2025-26
5 days to go,https://www.buddy4study.com/scholarship/state-horticulture-scholarship-nagaland-2026
28 February 2026,https://www.buddy4study.com/scholarship/kwi-international-fellowship-program-2026
2 March 2026,https://www.buddy4study.com/scholarship/presidents-phd-scholarships-imperial-college-london-2026
15 March 2026,https://www.buddy4study.com/scholarship/frederic-bastiat-fellowship-2026
15 March 2026,https://www.buddy4study.com/scholarship/oskar-morgenstern-fellowship-program-2026
13 days to go,https://www.buddy4study.com/scholarship/teach-for-india-fellowship
Last day to go,https://www.buddy4study.com/scholarship/st-andrews-international-excellence-scholarship
5 days to go,https://www.buddy4study.com/scholarship/barc-dae-doctoral-fellowship-scheme-ddfs-2026
6 days to go,https://www.buddy4study.com/scholarship/iiit-hyderabad-amgen-scholars-program-2026
28 February 2026,https://www.buddy4study.com/scholarship/ute-and-gyorgy-szell-international-phd-scholarship-2026
5 days to go,https://www.buddy4study.com/scholarship/state-agriculture-scholarship-for-bsc-and-msc-agriculture-nagaland-2025
Closed,https://www.buddy4study.com/scholarship/jmi-dr-apj-abdul-kalam-scholarship-2024
30 March 2026,https://www.buddy4study.com/scholarship/imperial-college-london-imperial-excellence-scholarship-2026
15 March 2026,https://www.buddy4study.com/scholarship/taiwan-icdf-international-higher-education-scholarship-program-2026
20 February 2026,https://www.buddy4study.com/scholarship/wfn-junior-travelling-fellowships-2026
4 days to go,https://www.buddy4study.com/scholarship/scholarship-programme-for-diaspora-children-spdc-2025
10 days to go,https://www.buddy4study.com/scholarship/icj-judicial-fellowship-programme-2026
28 February 2026,https://www.buddy4study.com/scholarship/mbzuai-undergraduate-research-internship-program-ugrip-2025
5 days to go,https://www.buddy4study.com/scholarship/post-matric-scholarship-for-obc-students-tripura-2025-26
5 days to go,https://www.buddy4study.com/scholarship/radboud-scholarship-programme-2026
5 days to go,https://www.buddy4study.com/scholarship/hiig-internet-and-society-fellowship-2026
Closed,https://www.buddy4study.com/scholarship/drdo-dipr-internship-2026
5 days to go,https://www.buddy4study.com/scholarship/focus-area-science-technology-summer-fellowship-2026
Last day to go,https://www.buddy4study.com/scholarship/full-time-advocacy-programme-internship
6 days to go,https://www.buddy4study.com/scholarship/chemers-neustein-summer-undergraduate-research-fellowship-program-2026
13 February 2026,https://www.buddy4study.com/scholarship/university-of-oregon-icsp-scholarship-2026
1 March 2026,https://www.buddy4study.com/scholarship/acu-international-student-accommodation-scholarship-2025
Narotam Sekhsaria Foundation Post Graduate Scholarship 2026-27,https://www.buddy4study.com/scholarship/narotam-sekhsaria-foundation-post-graduate-scholarship
Sensodyne IDA Shining Star Scholarship Programme 2025-26,https://www.buddy4study.com/scholarship/sensodyne-ida-shining-star-scholarship-programme
Last day to go,https://www.buddy4study.com/scholarship/presidents-international-scholarship-of-excellence-pise-2026
17 February 2026,https://www.buddy4study.com/scholarship/iim-rohtak-doctoral-programme-in-management-2026
5 days to go,https://www.buddy4study.com/scholarship/dr-apj-abdul-kalam-young-research-fellowship
28 February 2026,https://www.buddy4study.com/scholarship/pm-yasasvi-postmatric-scholarship-scheme-for-obc-ebc-and-dnt-students-haryana-2025
5 days to go,https://www.buddy4study.com/scholarship/azim-premji-scholarship-2025
27 February 2026,https://www.buddy4study.com/scholarship/f-m-kirby-foundation-internship-program-2026
5 days to go,https://www.buddy4study.com/scholarship/grant-of-additional-scholarship-to-st-students-for-higher-studies-andaman-and-nicobar-2025-26
1 March 2026,https://www.buddy4study.com/scholarship/norwegian-bi-presidential-scholarship
26 February 2026,https://www.buddy4study.com/scholarship/newcastle-university-vice-chancellors-excellence-undergraduate-scholarship-2026
15 March 2026,https://www.buddy4study.com/scholarship/tingshua-university-amgen-scholars-program-2026
5 days to go,https://www.buddy4study.com/scholarship/science-academies-summer-research-fellowship-program
Last day to go,https://www.buddy4study.com/scholarship/trinity-research-doctorate-awards-2026-27
5 days to go,https://www.buddy4study.com/scholarship/ucas-scholarship-for-international-students
Closed,https://www.buddy4study.com/scholarship/drdo-drde-internship-scheme-2026
6 days to go,https://www.buddy4study.com/scholarship/utokyo-amgen-scholars-program-2026
20 February 2026,https://www.buddy4study.com/scholarship/turkiye-scholarships-2026
5 days to go,https://www.buddy4study.com/scholarship/cas-anso-scholarship-degree-program-2026
1 March 2026,https://www.buddy4study.com/scholarship/taiwan-visiting-program-fellowship-2026
15 February 2026,https://www.buddy4study.com/scholarship/government-of-brunei-darussalam-scholarship
11 March 2026,https://www.buddy4study.com/scholarship/imperial-college-london-widening-participation-postgraduate-scholarship-2026
5 days to go,https://www.buddy4study.com/scholarship/csir-iicb-summer-internship-program-2026
28 February 2026,https://www.buddy4study.com/scholarship/dmi-patna-pgdm-scholarship-2026
31 March 2026,https://www.buddy4study.com/scholarship/vocational-training-fee-reimbursement-for-obc-sebc-vjnt-sbc-students-maharashtra-2025
5 days to go,https://www.buddy4study.com/scholarship/jncasr-summer-research-fellowship-programme-2026
23 March 2026,https://www.buddy4study.com/scholarship/ashoka-university-young-india-fellowship-2026
15 days to go,https://www.buddy4study.com/scholarship/anrf-j-c-bose-grant-jbg-2026
13 February 2026,https://www.buddy4study.com/scholarship/reuters-oxford-journalism-fellowship-programme-2026
1 March 2026,https://www.buddy4study.com/scholarship/heinrich-boll-foundation-doctoral-scholarship
5 days to go,https://www.buddy4study.com/scholarship/chief-ministers-fellowship-scheme-cmfs-bihar-2026
1 March 2026,https://www.buddy4study.com/scholarship/stanford-next-asia-policy-visiting-fellowship-2026
15 March 2026,https://www.buddy4study.com/scholarship/ngsf-internship-program-2025
5 days to go,https://www.buddy4study.com/scholarship/centrally-sponsored-post-matric-scholarship-for-st-students-andaman-and-nicobar-2025-26
Kind Circle Scholarship for Meritorious Students 2025-26,https://www.buddy4study.com/scholarship/kind-circle-scholarship-for-meritorious-students-2025-26
4 days to go,https://www.buddy4study.com/scholarship/iks-division-internship-program-2026
12 February 2026,https://www.buddy4study.com/scholarship/boc-scholarship-odisha-2025
11 March 2026,https://www.buddy4study.com/scholarship/university-of-nottingham-uk-international-undergraduate-excellence-scholarships-2026
Last day to go,https://www.buddy4study.com/scholarship/cern-summer-student-programme-2026
6 days to go,https://www.buddy4study.com/scholarship/maastricht-university-um-nl-high-potential-scholarship-2025
6 days to go,https://www.buddy4study.com/scholarship/kyoto-university-amgen-scholars-program-2026
Last day to go,https://www.buddy4study.com/scholarship/john-willett-international-scholarship-2026
9 days to go,https://www.buddy4study.com/scholarship/bath-global-excellence-scholarship
6 days to go,https://www.buddy4study.com/scholarship/national-university-of-singapore-amgen-scholars-program
5 days to go,https://www.buddy4study.com/scholarship/shastra-deep-tech-excellence-sdex-fellowship-2026
