organization,title,location,duration,stipend,apply_by,scraped_at
DUNUNG INDUSTRIESPVT LTD,AS A TRAINEE,"IT/ITES
(Cybersecurity & Information Security,Cryptography,Data Science,Deep Learning,Digital Commerce & Retail AI,Digital Health / HealthTech,Digital Logistics and Supply Chain AI,Digital Twin Technology,Drone Technology & UAV Operations,Computer Vision,Cloud Computing,Carbon Management,Data Analytics,Blockchain Technology,Biotechnology and Bioinformatics,Augmented Reality (AR) / Virtual Reality (VR),Artificial Intelligence (AI),Agentic AI,5G,Machine Learning (ML),Wearable Technologies & Smart Devices,Sustainable Construction Technologies,Smart Manufacturing (Industry 4.0),Robotics and Automation,Robotic Process Automation (RPA),Regulatory Technology (RegTech),Quantum Computing,Precision Farming,Natural Language Processing (NLP),Digital Platform Development,Language Technologies (Multilingual AI Models),Internet of Things (IoT),Industrial IoT (IIoT),Green Energy & Environmental Sustainability,Generative AI,Extended Reality (XR),Electric Vehicles (EV) & EV Infrastructure,Edge Computing)",1,12 Nov 2025,31 Dec 2026,2026-01-09 23:26:21
DUNUNG INDUSTRIESPVT LTD,APPRENTICESHIP,"Electrical and Electronic
(Cloud Computing,Digital Twin Technology,Digital Logistics and Supply Chain AI,Digital Health / HealthTech,Digital Commerce & Retail AI,Deep Learning,Data Science,Cryptography,Cybersecurity & Information Security,Computer Vision,Sustainable Construction Technologies,Carbon Management,Data Analytics,Blockchain Technology,Biotechnology and Bioinformatics,Augmented Reality (AR) / Virtual Reality (VR),Artificial Intelligence (AI),Agentic AI,5G,Wearable Technologies & Smart Devices,Digital Platform Development,Drone Technology & UAV Operations,Smart Manufacturing (Industry 4.0),Robotics and Automation,Robotic Process Automation (RPA),Regulatory Technology (RegTech),Quantum Computing,Precision Farming,Natural Language Processing (NLP),Machine Learning (ML),Internet of Things (IoT),Industrial IoT (IIoT),Green Energy & Environmental Sustainability,Generative AI,Extended Reality (XR),Electric Vehicles (EV) & EV Infrastructure,Edge Computing,Language Technologies (Multilingual AI Models))",1,11 Nov 2025,31 Dec 2026,2026-01-09 23:26:24
,,,,,,2026-01-09 23:26:26
adyar ananda bhavan sweets india private limited,BA BSC BBA BCOM BE BTECH DCE DME ETC,325,01 Jan 2026,31 Jan 2026,View,2026-01-09 23:26:29
APARNA ENTERPRISES LIMITED,GRADUATE ENGINEER TRAINEE OR MANAGEMENT TRAINEE,50,30 Oct 2025,20 Mar 2026,View,2026-01-09 23:26:32
ARMSTRONG KNITTING MILLS,QUALITY CONTROL EXECTIVE,100,10 Jun 2025,30 Jun 2026,View,2026-01-09 23:26:34
ASK AUTOMOTIVE LIMITED UNIT XII,FOR NATS APPRENTICE,200,03 Dec 2025,31 Jan 2026,View,2026-01-09 23:26:37
BEST CORPORATION PRIVATE LIMITED,APPAREL PRODUCTION AND QUALITY,100,28 Aug 2025,28 Feb 2027,View,2026-01-09 23:26:40
BHARAT PETROLEUM CORPORATION LTD,GRADUATE APPRENTICE,8,31 Dec 2025,15 Jan 2026,View,2026-01-09 23:26:42
BHARAT SANCHAR NIGAM LIMITED,SALES AND MARKETING APPRENTICE,43,05 Jan 2026,30 Jan 2026,View,2026-01-09 23:26:45
BSNL,TECHNICAL,10,06 Jan 2026,30 Jan 2026,View,2026-01-09 23:26:47
C R GARMENTS,GARMENT MANUFACTURING OPERATIONS,100,17 Jun 2025,30 Jun 2026,View,2026-01-09 23:26:50
DEFSYS SOLUTIONS PRIVATE LIMITED,MECHANICAL ENGINEERING,10,11 Sep 2025,30 Jun 2026,View,2026-01-09 23:26:53
